ENSMUSG00000001911	ENSMUST00000099070
ENSMUSG00000001911	ENSMUST00000109764
ENSMUSG00000001918	ENSMUST00000127401
ENSMUSG00000001924	ENSMUST00000001989
ENSMUSG00000001930	ENSMUST00000112254
ENSMUSG00000001942	ENSMUST00000215474
ENSMUSG00000001942	ENSMUST00000215678
ENSMUSG00000001946	ENSMUST00000002011
ENSMUSG00000001946	ENSMUST00000131832
ENSMUSG00000001962	ENSMUST00000114160
ENSMUSG00000001964	ENSMUST00000002029
ENSMUSG00000001964	ENSMUST00000088313
ENSMUSG00000001983	ENSMUST00000002048
ENSMUSG00000001995	ENSMUST00000108775
ENSMUSG00000001995	ENSMUST00000212987
ENSMUSG00000001998	ENSMUST00000002063
ENSMUSG00000001998	ENSMUST00000149254
ENSMUSG00000001999	ENSMUST00000002064
ENSMUSG00000002010	ENSMUST00000156299
ENSMUSG00000002014	ENSMUST00000129239
ENSMUSG00000002014	ENSMUST00000136544
ENSMUSG00000002014	ENSMUST00000141721
ENSMUSG00000002014	ENSMUST00000166518
ENSMUSG00000002015	ENSMUST00000002091
ENSMUSG00000002017	ENSMUST00000112507
ENSMUSG00000002028	ENSMUST00000114689
ENSMUSG00000002031	ENSMUST00000124534
ENSMUSG00000002031	ENSMUST00000133167
ENSMUSG00000002031	ENSMUST00000149020
ENSMUSG00000002032	ENSMUST00000132020
ENSMUSG00000002032	ENSMUST00000213203
ENSMUSG00000002043	ENSMUST00000002112
ENSMUSG00000002043	ENSMUST00000129808
ENSMUSG00000002043	ENSMUST00000207730
ENSMUSG00000002052	ENSMUST00000002121
ENSMUSG00000002058	ENSMUST00000002127
ENSMUSG00000002058	ENSMUST00000108295
ENSMUSG00000002059	ENSMUST00000108322
ENSMUSG00000002064	ENSMUST00000002133
ENSMUSG00000002068	ENSMUST00000108023
ENSMUSG00000002083	ENSMUST00000002152
ENSMUSG00000002083	ENSMUST00000147267
ENSMUSG00000002102	ENSMUST00000002171
ENSMUSG00000002102	ENSMUST00000067663
ENSMUSG00000002103	ENSMUST00000002172
ENSMUSG00000002103	ENSMUST00000124131
ENSMUSG00000002103	ENSMUST00000150403
ENSMUSG00000002105	ENSMUST00000073575
ENSMUSG00000002107	ENSMUST00000170438
ENSMUSG00000002108	ENSMUST00000150654
ENSMUSG00000002109	ENSMUST00000152277
ENSMUSG00000002111	ENSMUST00000002180
ENSMUSG00000002111	ENSMUST00000131400
ENSMUSG00000002129	ENSMUST00000002198
ENSMUSG00000002129	ENSMUST00000132666
ENSMUSG00000002147	ENSMUST00000092074
ENSMUSG00000002205	ENSMUST00000002275
ENSMUSG00000002205	ENSMUST00000125705
ENSMUSG00000002205	ENSMUST00000208083
ENSMUSG00000002210	ENSMUST00000002280
ENSMUSG00000002221	ENSMUST00000002291
ENSMUSG00000002222	ENSMUST00000002292
ENSMUSG00000002227	ENSMUST00000106774
ENSMUSG00000002233	ENSMUST00000002303
ENSMUSG00000002249	ENSMUST00000127212
ENSMUSG00000002249	ENSMUST00000154873
ENSMUSG00000002250	ENSMUST00000002320
ENSMUSG00000002250	ENSMUST00000123020
ENSMUSG00000002250	ENSMUST00000142226
ENSMUSG00000002265	ENSMUST00000051209
ENSMUSG00000002279	ENSMUST00000063344
ENSMUSG00000002280	ENSMUST00000134108
ENSMUSG00000002289	ENSMUST00000002360
ENSMUSG00000002297	ENSMUST00000002368
ENSMUSG00000002297	ENSMUST00000171808
ENSMUSG00000002297	ENSMUST00000198785
ENSMUSG00000002307	ENSMUST00000170075
ENSMUSG00000002307	ENSMUST00000172859
ENSMUSG00000002308	ENSMUST00000002379
ENSMUSG00000002319	ENSMUST00000047131
ENSMUSG00000002320	ENSMUST00000122358
ENSMUSG00000002324	ENSMUST00000141425
ENSMUSG00000002325	ENSMUST00000136109
ENSMUSG00000002325	ENSMUST00000145680
ENSMUSG00000002326	ENSMUST00000002397
ENSMUSG00000002326	ENSMUST00000226787
ENSMUSG00000002329	ENSMUST00000002400
ENSMUSG00000002332	ENSMUST00000128802
ENSMUSG00000002342	ENSMUST00000002413
ENSMUSG00000002342	ENSMUST00000126268
ENSMUSG00000002342	ENSMUST00000133084
ENSMUSG00000002342	ENSMUST00000143543
ENSMUSG00000002343	ENSMUST00000019679
ENSMUSG00000002345	ENSMUST00000002418
ENSMUSG00000002345	ENSMUST00000110139
ENSMUSG00000002345	ENSMUST00000123760
ENSMUSG00000002346	ENSMUST00000139333
ENSMUSG00000002365	ENSMUST00000002436
ENSMUSG00000002372	ENSMUST00000002445
ENSMUSG00000002379	ENSMUST00000002452
ENSMUSG00000002393	ENSMUST00000002466
ENSMUSG00000002395	ENSMUST00000137137
ENSMUSG00000002395	ENSMUST00000139541
ENSMUSG00000002395	ENSMUST00000140236
ENSMUSG00000002395	ENSMUST00000142685
